strategy,total_return,cagr,vol,sharpe,mdd,calmar,avg_turnover,mean_ppo_ratio
Vol_Target_DD_Guard,1.1536137341042618,0.06078725512614769,0.10361380786083327,0.6226462610547914,-0.19201292970916495,0.31657896798002066,0.21567148339124925,0.3604203299620436
Turnover_Aware_DD_Guard,1.156941893389344,0.06091326705696898,0.10418005291904915,0.6210190931470961,-0.2033916724951873,0.29948751740762797,0.19455565552437018,0.4109578957463458
Auto_DD_Guard_v1,1.1295564169491983,0.059871005643034936,0.10321908280368447,0.6162409128561345,-0.1941445140763871,0.30838371059755204,0.2140825534725535,0.37362268515572555
Auto_DD_Guard_v2_Strong,1.1308617688120641,0.05992096596950747,0.10355434928932697,0.6150167959731183,-0.1941445140763871,0.30864104635957557,0.21465605515125366,0.36809858450473054
Regime_Tactical,1.1675526051147638,0.06131381871509012,0.107663663100891,0.6079493668643384,-0.21265966056453256,0.28831899078708517,0.21580189233143285,0.49423076923076936
Manual_PPO25_A2C75,1.139685667642457,0.06025794800002515,0.10633609066634922,0.6049732900060472,-0.2131663410348762,0.2826804068010265,0.1811911073119865,0.25
Manual_PPO50_A2C50,1.0941691086035217,0.058505725452308255,0.10347482570285942,0.6024553435074002,-0.19822493762917814,0.2951481592177652,0.18634222795941213,0.5
Regime_DD_Guard,1.0681181713873946,0.05748697514986745,0.10566154263810086,0.5830868245757788,-0.20553899724270053,0.2796888956405037,0.21665114387811618,0.43826284291616663
A2C_Only,1.168375226247099,0.061344796804043034,0.11414237130259143,0.5804400320665865,-0.23408014358166318,0.26206749477083163,0.18757779474278286,0.0
Manual_PPO75_A2C25,1.0327768040661178,0.0560858102638786,0.10596610827357006,0.5687661157795831,-0.1894600411467111,0.2960297586996075,0.20440967899582504,0.75
Auto_RollingSharpe,1.0032724551591548,0.05489873304999193,0.10415090140861506,0.5663235572033553,-0.20627619400140185,0.2661418750513636,0.21928671064245905,0.4157344725770049
PPO_Only,0.9571616242385146,0.05301079263996433,0.11345712246791265,0.5123374903161507,-0.20341809966520563,0.26060017632261734,0.23457135584940156,1.0
