fold,strategy,test_start,test_end,total_return,cagr,vol,sharpe,mdd,calmar,avg_turnover,mean_ppo_ratio,vix_high_threshold
1,PPO_Only,2013-01-01,2013-12-31,-0.0577664964684943,-0.0577664964684943,0.11510707026298432,-0.4626992801747324,-0.15100151126464556,-0.38255575050009016,0.17658450818439084,1.0,28.02399940490723
1,A2C_Only,2013-01-01,2013-12-31,-0.10313264947842105,-0.10313264947842105,0.14609624041511796,-0.6727711230816841,-0.18801779378767347,-0.5485260059741349,0.38814458730856155,0.0,28.02399940490723
1,Manual_PPO25_A2C75,2013-01-01,2013-12-31,-0.09104816984290243,-0.09104816984290243,0.13127002081140196,-0.6627265941538301,-0.1782435874772199,-0.5108075478706277,0.32927903972257305,0.25,28.02399940490723
1,Manual_PPO50_A2C50,2013-01-01,2013-12-31,-0.07943302781689954,-0.07943302781689954,0.12045694116690504,-0.6285487515948668,-0.16879338634404095,-0.4705932473858673,0.27210070610285475,0.5,28.02399940490723
1,Manual_PPO75_A2C25,2013-01-01,2013-12-31,-0.06829627153825724,-0.06829627153825724,0.11480175282207417,-0.5612282542749814,-0.1596773512646208,-0.42771420616237027,0.2149223724831338,0.75,28.02399940490723
1,Auto_RollingSharpe,2013-01-01,2013-12-31,-0.1038648214442438,-0.1038648214442438,0.11527606899543195,-0.8931707977948716,-0.1771401881578104,-0.5863425037784924,0.3693876926445232,0.44864371234602035,28.02399940490723
1,Auto_DD_Guard_v1,2013-01-01,2013-12-31,-0.09016783380997906,-0.09016783380997906,0.11998981682970651,-0.7284035595822935,-0.16456317864268333,-0.5479222907194861,0.33934871141290346,0.30199622787126046,28.02399940490723
1,Auto_DD_Guard_v2_Strong,2013-01-01,2013-12-31,-0.09016783380997906,-0.09016783380997906,0.11998981682970651,-0.7284035595822935,-0.16456317864268333,-0.5479222907194861,0.33934871141290346,0.30199622787126046,28.02399940490723
1,Regime_DD_Guard,2013-01-01,2013-12-31,-0.07189880269876003,-0.07189880269876003,0.1229802778661622,-0.5475503582924155,-0.161960480512906,-0.44392806486537123,0.25302858064930106,0.3958333333333333,28.02399940490723
1,Turnover_Aware_DD_Guard,2013-01-01,2013-12-31,-0.08915830402093028,-0.08915830402093028,0.1260445989780602,-0.6790279943751001,-0.17414978166386363,-0.5119633408040659,0.30169526310518774,0.373363791490308,28.02399940490723
1,Vol_Target_DD_Guard,2013-01-01,2013-12-31,-0.08377125947272213,-0.08377125947272213,0.1212294336842676,-0.6624477513141931,-0.15868964071945102,-0.5278936866510534,0.35575016317921176,0.28578955349577156,28.02399940490723
1,Regime_Tactical,2013-01-01,2013-12-31,-0.04202366210032071,-0.04202366210032071,0.11815864272021812,-0.30776800102184115,-0.13462693679078686,-0.3121489881748285,0.26476615097034867,0.5666666666666667,28.02399940490723
2,PPO_Only,2014-01-01,2014-12-31,0.12089688347771621,0.12089688347771621,0.08153278602484047,1.4436718893264051,-0.013803006228947368,8.758735703833405,0.08657570209851605,1.0,23.915999984741212
2,A2C_Only,2014-01-01,2014-12-31,0.09915472925235913,0.09915472925235913,0.07997740991337454,1.2232460969257162,-0.013750541540152539,7.21096903440642,0.14742183078382406,0.0,23.915999984741212
2,Manual_PPO25_A2C75,2014-01-01,2014-12-31,0.10457092373173937,0.10457092373173937,0.08024619734750214,1.281150986183671,-0.013763652921395475,7.5976141166117905,0.13107592086587871,0.25,23.915999984741212
2,Manual_PPO50_A2C50,2014-01-01,2014-12-31,0.11000181381568575,0.11000181381568575,0.08059526907312942,1.3372990458011929,-0.013776764302638633,7.984589951547428,0.11522315311344915,0.5,23.915999984741212
2,Manual_PPO75_A2C25,2014-01-01,2014-12-31,0.11545061446667915,0.11545061446667915,0.08102394321195476,1.3915941266738103,-0.01378987568388168,8.372128735114254,0.0993728114297366,0.75,23.915999984741212
2,Auto_RollingSharpe,2014-01-01,2014-12-31,0.11038446732542662,0.11038446732542662,0.08058131179022755,1.341833009646699,-0.013776772164468598,8.012360660947637,0.11467329442094452,0.5074643483853137,23.915999984741212
2,Auto_DD_Guard_v1,2014-01-01,2014-12-31,0.11038446732542662,0.11038446732542662,0.08058131179022755,1.341833009646699,-0.013776772164468598,8.012360660947637,0.11467329442094452,0.5074643483853137,23.915999984741212
2,Auto_DD_Guard_v2_Strong,2014-01-01,2014-12-31,0.11038446732542662,0.11038446732542662,0.08058131179022755,1.341833009646699,-0.013776772164468598,8.012360660947637,0.11467329442094452,0.5074643483853137,23.915999984741212
2,Regime_DD_Guard,2014-01-01,2014-12-31,0.11109013992936845,0.11109013992936845,0.0806746732348557,1.348310027958431,-0.01377938657888722,8.062052638800393,0.11205290323019125,0.5499999999999999,23.915999984741212
2,Turnover_Aware_DD_Guard,2014-01-01,2014-12-31,0.11000181381568575,0.11000181381568575,0.08059526907312942,1.3372990458011929,-0.013776764302638633,7.984589951547428,0.11522315311344915,0.5,23.915999984741212
2,Vol_Target_DD_Guard,2014-01-01,2014-12-31,0.11038446732542662,0.11038446732542662,0.08058131179022755,1.341833009646699,-0.013776772164468598,8.012360660947637,0.11467329442094452,0.5074643483853137,23.915999984741212
2,Regime_Tactical,2014-01-01,2014-12-31,0.11405884223792162,0.11405884223792162,0.08079726143896415,1.3797017679125505,-0.013787253407633093,8.272774777228273,0.10338067390542734,0.6791666666666667,23.915999984741212
3,PPO_Only,2015-01-01,2015-12-31,0.013441950937183922,0.013441950937183922,0.1345292351631861,0.15980173563257707,-0.08001695937843611,0.1679887743998232,0.07960047925798566,1.0,18.79800033569336
3,A2C_Only,2015-01-01,2015-12-31,0.01289235742967798,0.01289235742967798,0.13667160642838527,0.1553591816530085,-0.08403837117493762,0.15341036778117387,0.07933496386366089,0.0,18.79800033569336
3,Manual_PPO25_A2C75,2015-01-01,2015-12-31,0.013033428547208459,0.013033428547208459,0.13612321841802852,0.1564820747727713,-0.08303297951276456,0.15696688982725046,0.07915957143097134,0.25,18.79800033569336
3,Manual_PPO50_A2C50,2015-01-01,2015-12-31,0.013172158179634685,0.013172158179634685,0.13558296054548688,0.15759796817653476,-0.08202761365929001,0.16058199906127438,0.07913405476476416,0.5,18.79800033569336
3,Manual_PPO75_A2C25,2015-01-01,2015-12-31,0.013309398344768963,0.013309398344768963,0.1350514426867561,0.1587125182336481,-0.08102227361451386,0.16426838881481098,0.07910853809855677,0.75,18.79800033569336
3,Auto_RollingSharpe,2015-01-01,2015-12-31,0.013138005384306206,0.013138005384306206,0.13558931080969955,0.15734785525157297,-0.08204166302488858,0.1601382139257781,0.07907392974164786,0.5015370959461641,18.79800033569336
3,Auto_DD_Guard_v1,2015-01-01,2015-12-31,0.013138005384306206,0.013138005384306206,0.13558931080969955,0.15734785525157297,-0.08204166302488858,0.1601382139257781,0.07907392974164786,0.5015370959461641,18.79800033569336
3,Auto_DD_Guard_v2_Strong,2015-01-01,2015-12-31,0.013138005384306206,0.013138005384306206,0.13558931080969955,0.15734785525157297,-0.08204166302488858,0.1601382139257781,0.07907392974164786,0.5015370959461641,18.79800033569336
