feature,importance,importance_pct
US10Y,0.16763897303921813,16.763897303921812
Equity_vs_Bond,0.16589896486913863,16.58989648691386
Jobless_Claims_MA,0.1465076846294781,14.650768462947811
Market_Breadth,0.1245729635571004,12.45729635571004
spread_10y2y,0.0941891545225951,9.41891545225951
Copper_Gold_Ratio,0.09374556296969697,9.374556296969697
DXY,0.09296720798420051,9.29672079842005
VIX,0.06226917227639967,6.226917227639968
MA200_Dist,0.026792230123004444,2.6792230123004446
Vol_Ratio,0.005931912911222408,0.5931912911222409
Month,0.005094472143696219,0.5094472143696219
SPY_MA20_Diff,0.0050805805884049145,0.5080580588404915
RSI,0.002627524799295288,0.26275247992952877
SPY_ret,0.0011945646404215578,0.11945646404215578
HY_spread_ret,0.0010810242373199017,0.10810242373199017
VIX_MA5_Diff,0.000929458636531351,0.0929458636531351
SPY_Log_Ret,0.0008808062277479094,0.08808062277479094
OIL_ret,0.0006812894928577677,0.06812894928577677
US10Y_diff,0.0005877044064363721,0.058770440643637206
USDKRW_ret,0.0003633545328462825,0.03633545328462825
DXY_ret,0.0003521112450464526,0.03521112450464526
GOLD_ret,0.00034449082192371445,0.034449082192371444
VIX_ret,0.00026879134541782146,0.026879134541782146
